"","Aboveground","Belowground","Leaves","Rhizomes","Roots","Aboveground","Belowground","Leaves","Rhizomes","Roots","Aboveground","Belowground","Leaves","Rhizomes","Roots"
"Cymodocea nodosa",41.1428571428571,35.96,36.3,NA,NA,0.604993956230002,NA,NA,NA,NA,7,1,1,NA,NA
"Juncus",41.2182777777778,NA,NA,NA,NA,0.128632633550599,NA,NA,NA,NA,54,NA,NA,NA,NA
"Juncus maritimus",38.76,38.464,NA,NA,NA,0.60869532608687,0.381806233579286,NA,NA,NA,5,5,NA,NA,NA
"Limoniastrum monopetalum",43.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Mixed Salt Marsh",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Mixed Seagrass",NA,30.8,34.4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"Phragmites australis",41.8866666666667,40.69,NA,NA,NA,0.20267653484747,0.769696910045332,NA,NA,NA,3,3,NA,NA,NA
"Posidonia oceanica",NA,NA,38.902577695814,NA,NA,NA,NA,0.182135387962853,NA,NA,NA,NA,129,NA,NA
"Salicornia",38.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Sarcocornia",30.390266346129,NA,NA,NA,NA,0.75222838034981,NA,NA,NA,NA,31,NA,NA,NA,NA
"Scirpus maritimus",36.09,37.555,NA,NA,NA,1,1.255,NA,NA,NA,2,2,NA,NA,NA
"Spartina maritima",41.1352843577778,NA,41.5733496333333,NA,35.9897421333333,0.181666078445921,NA,0.42461590604755,NA,1.53911548051356,45,NA,3,NA,3
"Spartina patens",41.265,33.78,NA,NA,NA,0.641021320498261,3.92773471609272,NA,NA,NA,4,4,NA,NA,NA
"Zostera marina",NA,NA,35.8047211655556,31.37214,30.103391,NA,NA,0.79935983326019,3.33291306793188,5.46061761460131,NA,NA,9,3,3
"Zostera noltii",40.2087032135185,31.7033333333333,40.3318758371296,31.9753824785714,24.7926769833333,0.17345202766942,1.80246991036682,0.364850037939581,2.15672093338774,3.66992829202476,216,6,108,7,6
"Salt Marsh",38.7968915158503,37.4728571428571,41.5733496333333,NA,35.9897421333333,0.406076124099716,1.25196435918596,0.42461590604755,NA,1.53911548051356,147,14,3,NA,3
"Seagrass",40.2380264310314,32.1225,39.3839419502419,31.794409735,26.5629149888889,0.16927015791279,1.43300726496015,0.198294616102131,1.70871864917868,2.97995303185655,223,8,248,10,9
