"","Core.ID","F.WC","A.Max","Flux"
"1","A1_M1",0.00231435883428502,103.8334341,0.00235710594755734
"2","A2_M3",0.0124359022195213,66.34836145,NA
"3","AG.D-A",0.000651995092904823,3810,0.00368669414245162
"4","AG.I-A",0.00285624644740222,830,0.00323068185399712
"5","AG.S-A",0.0037045329052267,1303,0.00872073198325383
"6","BA.S-A",0.000788073881663167,422,0.000774532880996667
"7","BS1a1",0.00484594592412457,92.74811697,NA
"8","BS2_a1",0.00172600546355235,111.9373917,0.00178049296498402
"9","CA.S-C",0.00276652471441586,349,0.00258223755588135
"10","CA.SC-C",0.00315926603259526,376,0.00104292390518387
"11","CD-01",0.00508265675580559,112.954833,0.00493124700466889
"12","CLL-01",0.000994291668439282,153.4583017,0.00135441762777884
"13","DE.I-A",0.000485479862260707,2810,0.00461896048071036
"14","EP05",0.00188981249547797,1731.8,0.00848298432309595
"15","MA-04",0.00226140765391272,168.2750177,0.0031030170427201
"16","MC-05",0.00181924023485536,144.0900819,0.00204446794004019
"17","ME.S-C",0.00213904531087863,490,0.0010224909661962
"18","MM1a1",0.00752152799189761,107.9323557,0.00769640509521396
"19","MM2a1",0.00439047000869891,92.47496206,NA
"20","MS1_a2",0.00665852278267739,91.21422186,NA
"21","MS2_a3",0.00446821998259043,86.54926939,NA
"22","MS2_C3",0.00176227338967193,103.6142558,0.00180497966126876
"23","N_M3",0.00684244119425625,106.2309073,0.00715260941937878
"24","ODB.Z-A",0.00254981204359479,1327,0.004162744432543
"25","ODE.M-A",0.00294597508294894,397,0.00596083075493384
"26","ODH-A",0.00130266053065373,592,0.00205409072930969
"27","ODM.L-A",0.000569244516493148,1247,0.000943218398148803
"28","ODM.LC-A",0.00150174236151453,829,0.00252995923529729
"29","ODN.D-MID",0.000439249471409294,3096,0.00167372667422607
"30","ODN.DC-A",0.00034726587354605,912,0.00154308102745825
"31","PA.I-A",0.0012320473099147,296,0.00124762180586598
"32","PC-01",0.0059563223299971,106.315826,0.00607636619091275
"33","PO-03",0.00355299334311317,168,0.00492758428031601
"34","ria_de_vigo_a_ramallosa_a",0.00481435852516168,180,0.00780098847432857
"35","RO.IB-C",0.000291278583895661,5860,0.00293976260681525
"36","RO.IR-A",0.00111659162394621,1427,0.00591237164895266
"37","RO.S-A",0.00259787358780408,1151,0.00443269518824785
"38","SA.CN-A",0.000251445189641432,1998,0.000507225075463974
"39","SA.ZN.C-A",0.000307597285106149,2191,0.000385323009312738
"40","SA.ZN.S-A",8.47387212900767e-05,1618,0.000217608387552514
"41","SM02_13m",0.00275316359999152,161.6003713,0.00394897295589318
"42","SM05",0.00757201892941502,164.15,0.00657065671743993
"43","SM1",0.00170612807949374,112.3820991,0.00186349283634854
"44","SM10",0.001898116406929,776.5,0.00407618182675065
"45","SM15",0.000703705740630174,1914.85,0.0032716667451093
"46","SM2",0.00143342033003759,111.8756937,0.00157924301252057
"47","SM25",0.000961820321498944,1807.2,0.00181893984133867
"48","SM3",0.00343834413610561,110.4972376,0.00344814704967451
"49","SM4",0.00315934343190555,103.8961039,0.00317254236230831
"50","SP-05",0.00396690533176643,148,0.00517151910545278
"51","TE.S-A",0.00173526959302354,1029,0.00298641019508514
"52","TOR.H-A",0.000744725135892888,1104,0.000333523168710666
"53","TOR.L-B",0.000881465475718331,946,0.00118280462224124
"54","TOR.LC-A",0.000486688433662067,1913,0.000404146092232514
"55","TOR.M-A",0.00197831724309706,1174,0.00387328613242476
"56","ZN1",0.00204448227058061,101.1743451,0.00203749336630151
"57","ZN2",0.000841751423188331,111.6633915,0.00092867855449481
"58","ZN3",0.012163822692336,87.01957941,NA
"59","ZN4",0.00460890826388017,100.171191,0.0046075593871543
