"","Group.1","Posidonia oceanica","Cymodocea nodosa","Zostera marina","Zostera noltii","Mixed Seagrass","Low","Medium","High","Microtidal","seagrass","salt marsh"
"1","Atlantic Ocean",0,0.000624215314285714,0.000539925885949075,0.00133616939621783,0,0.0109639861070064,0.0376098357688494,0.0449562229737351,0,0.00250031059645262,0.0935300448495908
"2","Cantabrian Sea",0,0,3.84562596829825e-06,0.000428672059986237,0,0.0038851392791795,0.0011168229362133,0.00795258113433675,0,0.000432517685954536,0.0129545433497296
"3","Mediterranean Sea",0.158261540378855,0.0114145376914286,0,6.93232044202166e-05,0.00137996194996315,0,0,0,0.0555094625555874,0.171125363224667,0.0555094625555874
"4","Ultraperiferic T.",0,0.00339101897142857,0,3.53689818470493e-06,0,0,0,0,0,0.00339455586961328,0
"5","Portugal",0,7.88214857142857e-05,0,0.000468179212709392,0,0.00289140088828636,0.0302067676722621,0.0150630261772258,0,0.000547000698423677,0.0481611947377743
"6","Spain",0.158261540378855,0.0153509504914286,0.000543771511917373,0.0013695223460996,0.00137996194996315,0.0119577244978995,0.00851989103280056,0.037845777930846,0.0555094625555874,0.176905746678264,0.113832856017133
"7","Atlantic Ocean",0,0.0553287878222004,0.0265051891551417,0.488497474454522,0,0.809721027464483,2.33138626568956,0.527792588163544,0,0.570331451431864,3.66889988131759
"8","Cantabrian Sea",0,0,0.000188783398540895,0.156720561977575,0,0.286928397963723,0.0692304446820091,0.0933644577286749,0,0.156909345376115,0.449523300374407
"9","Mediterranean Sea",18.4050257072739,1.01175430907241,0,0.0253442492967035,0,0,0,0,0.59387295482384,19.442124265643,0.59387295482384
"10","Ultraperiferic T.",0,0.300570916600983,0,0.00129307394370936,0,0,0,0,0,0.301863990544692,0
"11","Portugal",0,0.00698652717917805,0,0.171164197928808,0,0.213538039470775,1.87247941508738,0.176842115412987,0,0.178150725107986,2.26285956997114
"12","Spain",18.4050257072739,1.36066748631642,0.0266939725536826,0.500691161743701,0,0.883111385957432,0.528137295284195,0.444314930479232,0.59387295482384,20.2930783278877,2.4494365665447
"13","Atlantic Ocean",0,0.000116083282768984,0.00012636,0.000719058076665101,0,0.000972238877533991,0.00352930066673936,0.000930203816291756,0,0.000961501359434085,0.00543174336056511
"14","Cantabrian Sea",0,0,9e-07,0.000230689393011303,0,0.0003445173511702,0.000104802476608315,0.000164549440126493,0,0.000231589393011303,0.000613869267905008
"15","Mediterranean Sea",0.0262067748788984,0.00212272428469264,0,3.73062054704748e-05,0,0,0,0,0.002356658,0.0283668053690615,0.002356658
"16","Ultraperiferic T.",0,0.000630616720106866,0,1.90337783012627e-06,0,0,0,0,0,0.000632520097936993,0
"17","Portugal",0,1.46581741989349e-05,0,0.000251950123373814,0,0.000256396927786319,0.00283459800093185,0.000311673968766108,0,0.000266608297572749,0.00340266889748428
"18","Spain",0.0262067748788984,0.00285476611336956,0.00012726,0.000737006929603191,0,0.00106035930091787,0.000799505142415825,0.000783079287652141,0.002356658,0.0299258079218711,0.00499960173098584
